country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,energy_per_capita,energy_per_gdp,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Afghanistan,1990,AFG,12045664.0,13065984000.0,0.046,0.004,2.024,-0.741,-26.784,2.185,-1.489,-40.526,0.181,0.167,0.069,0.168,0.155,0.064,0.278,0.023,,,,1.537,58.603,347.231,11.51,10.814,801.895,29.032,2968.316,2.43,0.002,0.403,0.033,0.35,1.153,0.161,0.013,7.86,0.652,2.645,0.22,1.271,0.106,31.746,0.009,0.009,0.008,0.003,0.013,0.007,0.024,0.003,0.07,0.014,0.123,0.011,0.01,0.011,0.003,0.014,0.094,0.0,0.0,0.001,0.0,13.892,4.218,,
Afghanistan,1991,AFG,12238879.0,12047362048.0,0.046,0.004,1.914,-0.11,-5.435,1.915,-0.27,-12.34,0.157,0.159,0.138,0.156,0.159,0.138,0.25,0.02,,,,1.582,60.518,349.147,11.76,11.203,801.897,30.237,1293.862,1.154,0.002,0.389,0.032,0.344,1.158,0.001,0.0,8.221,0.672,2.72,0.222,1.204,0.098,13.903,0.009,0.008,0.007,0.003,0.012,0.007,0.024,0.003,0.068,0.013,0.122,0.011,0.009,0.01,0.0,0.012,0.092,0.0,0.0,0.001,0.0,14.178,4.207,,
Afghanistan,1992,AFG,13278982.0,12677539840.0,0.046,0.003,1.482,-0.432,-22.58,-0.179,-2.094,-109.323,-0.013,-0.014,-0.019,0.112,0.117,0.162,0.022,0.002,,,,1.628,62.0,348.968,11.782,11.566,800.236,31.266,760.342,0.723,0.002,0.363,0.027,0.29,0.942,-1.661,-0.125,8.377,0.631,2.666,0.201,1.03,0.078,9.168,0.009,0.007,-0.001,0.0,0.012,0.007,0.023,0.003,0.066,0.013,0.121,0.011,0.009,0.009,-0.032,0.011,0.09,0.0,0.0,0.001,0.0,12.514,3.853,,
Afghanistan,1993,AFG,14943174.0,9834582016.0,0.047,0.003,1.487,0.005,0.33,-2.575,-2.397,1342.009,-0.172,-0.262,-0.283,0.1,0.151,0.163,0.018,0.001,,,,1.675,63.487,346.393,11.8,11.918,796.174,32.314,650.207,0.926,0.001,0.352,0.024,0.269,0.79,-4.062,-0.272,8.579,0.574,2.705,0.181,1.048,0.07,9.105,0.009,0.007,-0.009,0.0,0.012,0.007,0.022,0.003,0.065,0.013,0.119,0.011,0.009,0.009,-0.082,0.011,0.089,0.0,0.0,0.001,0.0,11.804,4.021,,
Afghanistan,1994,AFG,16250799.0,7919856640.0,0.047,0.003,1.454,-0.033,-2.227,-1.994,0.581,-22.549,-0.123,-0.252,-0.226,0.089,0.184,0.165,0.015,0.001,,,,1.722,64.941,344.398,11.815,12.256,792.726,33.346,570.403,1.113,0.001,0.338,0.021,0.256,0.756,-3.448,-0.212,8.974,0.552,2.552,0.157,1.032,0.064,8.816,0.008,0.006,-0.007,0.0,0.012,0.007,0.022,0.003,0.063,0.013,0.118,0.011,0.007,0.008,-0.059,0.011,0.087,0.0,0.0,0.001,0.0,12.282,4.159,,
Afghanistan,1995,AFG,17065836.0,12307525632.0,0.047,0.003,1.417,-0.037,-2.511,-1.051,0.943,-47.293,-0.062,-0.085,-0.142,0.083,0.115,0.191,0.015,0.001,,,,1.769,66.358,343.347,11.829,12.578,790.257,34.357,452.46,0.604,0.001,0.322,0.019,0.253,0.78,-2.469,-0.145,9.505,0.557,2.672,0.157,1.011,0.059,7.429,0.008,0.006,-0.004,0.0,0.012,0.007,0.021,0.002,0.061,0.013,0.116,0.011,0.007,0.008,-0.045,0.011,0.085,0.0,0.0,0.001,0.0,13.319,4.321,,
Afghanistan,1996,AFG,17763265.0,12070125568.0,0.047,0.003,1.37,-0.047,-3.332,1.356,2.407,-228.996,0.076,0.112,0.186,0.077,0.114,0.188,0.007,0.0,,,,1.816,67.728,344.703,11.837,12.886,790.243,35.343,425.906,0.604,0.001,0.308,0.017,0.249,0.885,-0.014,-0.001,10.506,0.591,2.899,0.163,0.986,0.055,7.286,0.007,0.006,0.004,0.0,0.012,0.007,0.021,0.002,0.059,0.012,0.115,0.011,0.006,0.007,-0.0,0.01,0.084,0.0,0.0,0.001,0.0,15.723,4.425,,
Afghanistan,1997,AFG,18452100.0,11850753024.0,0.047,0.003,1.304,-0.066,-4.814,4.953,3.597,265.223,0.268,0.418,0.714,0.071,0.11,0.188,0.004,0.0,,,,1.864,69.032,349.656,11.84,13.168,793.891,36.292,390.019,0.585,0.001,0.282,0.015,0.242,1.007,3.648,0.198,11.334,0.614,3.186,0.173,0.949,0.051,6.938,0.007,0.005,0.016,0.0,0.011,0.007,0.021,0.002,0.057,0.012,0.115,0.011,0.006,0.006,0.049,0.01,0.083,0.0,0.0,0.001,0.0,18.584,4.466,,
Afghanistan,1998,AFG,19159996.0,11692171264.0,0.047,0.002,1.279,-0.026,-1.967,0.979,-3.974,-80.239,0.051,0.084,0.145,0.067,0.109,0.189,0.004,0.0,,,,1.911,70.311,350.634,11.844,13.432,793.591,37.234,365.121,0.577,0.001,0.264,0.014,0.236,0.918,-0.3,-0.016,11.976,0.625,3.453,0.18,0.942,0.049,6.752,0.007,0.005,0.003,0.0,0.011,0.007,0.021,0.002,0.056,0.012,0.114,0.011,0.007,0.006,-0.005,0.01,0.082,0.0,0.0,0.001,0.0,17.581,4.528,,
Afghanistan,1999,AFG,19887791.0,11517316096.0,0.047,0.002,1.092,-0.187,-14.616,1.859,0.88,89.923,0.093,0.161,0.275,0.055,0.095,0.162,0.004,0.0,,,,1.959,71.402,352.493,11.848,13.674,794.359,38.01,350.347,0.586,0.001,0.242,0.012,0.223,0.966,0.767,0.039,12.904,0.649,3.699,0.186,0.777,0.039,6.749,0.007,0.004,0.006,0.0,0.011,0.007,0.02,0.002,0.054,0.012,0.113,0.011,0.007,0.005,0.013,0.008,0.082,0.0,0.0,0.001,0.0,19.208,4.431,,
